#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
12,"Basquiat","Ibibio Sound Machine",0,135,"afro psych, afro-funk","World/Traditional","Basquiat",2018-11-07,03:29,77,76,4,71,81,0,10,-9,G Major,4,2019-01-16,0PGkRO9bZRP7ruF29rN8gE,"Merge Records",9B,,https://i.scdn.co/image/ab67616d0000485191becb60b60e357b5f956376
13,"Seventeen","Sharon Van Etten",0,127,"art pop, chamber pop, indie rock, melancholia, new jersey indie, singer-songwriter","Pop, Rock, Folk/Acoustic","Seventeen",2019-01-09,04:25,54,77,2,21,24,0,0,-7,F Major,4,2019-01-17,3buy5Ooz6uNL48W1yBUzbM,"Jagjaguwar",7B,,https://i.scdn.co/image/ab67616d00004851022542fd6f0bd7584dec16ed
14,"Your Car","Red Ribbon",0,142,"seattle indie","Rock","Dark Party",2018-09-28,02:44,58,63,0,61,93,0,10,-10,A Minor,4,2019-01-18,40zcZvxyFNpylYjrpqORG8,"Union Zero",8A,,https://i.scdn.co/image/ab67616d0000485164e042fe3910ef48c0f4c9fd
15,"Helluva Dr.","angelic milk",0,152,"russian indie, russian shoegaze","Electronic, Folk/Acoustic","DIVINE BIKER LOVE",2019-01-11,03:16,38,90,0,22,45,10,40,-5,C Major,4,2019-01-21,2jaVv4N9hymFQnRzLcFc5n,"PNKSLM Recordings",8B,,https://i.scdn.co/image/ab67616d0000485193eac2c0ec9ea348a8cf494b
16,"The Distance","Ellis May",16,120,"","","The Distance",2018-11-30,03:36,56,86,47,87,16,0,10,-8,F Major,4,2019-01-22,1r6wShWLPiYGSRKXcQ3mEP,"Mayday Recordings",7B,https://p.scdn.co/mp3-preview/ea70f60c00bb6717da6b64e74b0acc7d685893e5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d4c98c99f9d161312589ac1e
17,"Jealous","Heavy Lungs",0,170,"bristol indie, crank wave, english indie rock, uk post-punk revival","Rock","Jealous",2019-01-10,02:19,37,95,0,44,28,10,10,-5,B Minor,4,2019-01-23,0ScKjEL3v7jbrvaV4x1rY2,"Balley Records",10A,,https://i.scdn.co/image/ab67616d00004851c587e3606052f415d7a26779
18,"Hardly News","Criminal Hygiene",0,145,"","","Hardly News",2018-11-16,03:15,44,87,0,0,81,0,10,-5,A Major,4,2019-01-24,6DUTbkWtTBrleyA0vAsTSm,"Dangerbird Records",11B,https://p.scdn.co/mp3-preview/3d183337e4bac043ef3ac092831f2566392716e1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485127aa57b25f614685cad63369
19,"End of the Bar","Martin Frawley",0,132,"melbourne indie","Rock","End of the Bar",2018-11-14,04:01,56,73,13,0,52,0,0,-10,C Major,4,2019-01-28,1jYm1R0rsGWMJU8dFGOLU0,"Merge Records",8B,,https://i.scdn.co/image/ab67616d000048519ee39f13b51ac1bcd53ce2df
20,"Buddy","Du Blonde",0,112,"chamber psych","Folk/Acoustic","Buddy",2018-10-11,02:26,56,61,3,0,39,0,20,-9,E Major,4,2019-01-30,4OtCFLbasXy3BPvam5ySNY,"Moshi Moshi Records",12B,,https://i.scdn.co/image/ab67616d000048510e38de3b914eac7fec7b96b5
21,"3 Mile Drive","Nanami Ozone",0,130,"phoenix indie","Rock","Alone Too / 3 Mile Drive",2018-11-01,02:14,51,90,0,7,50,0,10,-9,G Major,4,2019-01-30,170yXeNQGVwXJMzj1ckSVP,"Tiny Engines",9B,,https://i.scdn.co/image/ab67616d00004851781e32573122956e83421d43
